;meta[fps=30]
;meta[frames=15]
;meta[profile=mrrr]
jaw_open_a;0;0;0;0;0;0;-0.0018438098;-0.0019276196;0.0076434305;0.024572957;0.04009448;0.04666515;0.0367421;0.018622478;0.0051291445;-0.00083809486;-0.001676191;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;-0.0043355916;0.032328878;0.18540993;0.4367809;0.6686111;0.75009805;0.6130852;0.36076376;0.1460485;0.03157664;-0.003944893;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;0;0;0;0;-0.0006449448;0.004808512;0.027581593;0.06503737;0.09958477;0.11172239;0.0913005;0.053699814;0.021703618;0.0046860552;-0.00058575685;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;0;0;0;0;-0.00058575685;0.004359501;0.02512223;0.059267566;0.090841286;0.10195637;0.0833591;0.049026;0.019815724;0.0042533707;-0.00053269183;0;0;0;0;0;0;0;0;0;0
corner_right_out;0;0;0;0;0;0;-0.0016776727;0.012494784;0.071872555;0.1695225;0.25969842;0.2913987;0.23817647;0.14006525;0.056606147;0.01218456;-0.0015246007;0;0;0;0;0;0;0;0;0;0
corner_left_out;0;0;0;0;0;0;-0.0015715427;0.011715136;0.06723345;0.15844008;0.24258903;0.2721626;0.22244468;0.13086663;0.052946698;0.011429403;-0.0014286753;0;0;0;0;0;0;0;0;0;0
corner_right_up;0;0;0;0;0;0;-0.0014633716;0.010923242;0.062471878;0.14714332;0.22523673;0.25272238;0.2065925;0.12162514;0.049246427;0.010653837;-0.0013307091;0;0;0;0;0;0;0;0;0;0
corner_left_up;0;0;0;0;0;0;-0.0014633716;0.010923242;0.062471878;0.14714332;0.22523673;0.25272238;0.2065925;0.12162514;0.049246427;0.010653837;-0.0013307091;0;0;0;0;0;0;0;0;0;0
lips_in;0;0;0;-0.000030534946;0.00024809642;0.0011336099;0.0021369688;0.0050357208;0.01408822;0.028336907;0.041394092;0.045863334;0.037501846;0.022075653;0.0089481715;0.0019523286;-0.00024316636;0;0;0;0;0;0;0;0;0;0
lips_up;0;0;0;-0.0023187476;0.018893497;0.08574212;0.17777063;0.24321082;0.23445113;0.15715955;0.06750132;0.014462119;-0.0018034707;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lip_upper_back;0;0;0;-0.0011666894;0.009507183;0.043136336;0.08940092;0.120638795;0.13253169;0.12789017;0.120595574;0.11254027;0.091039255;0.053699814;0.021703618;0.0046860552;-0.00058575685;0;0;0;0;0;0;0;0;0;0
